fid,date_begin,date_end,source_no,name,state,nation,army,white civilians,native dead,army dead,white civilian dead,source,xcoord,ycoord
224,1864/12/04,1864/12/04,7,Cow Creek,Kansas,n/a,x,,,1,,Michno: Encyclopedia,-202388.1193,1715649.778
225,1865/01/20,1865/01/20,8,Point of Rocks,Kansas,"Cheyenne, Arapaho",x,,3,1,,Michno: Encyclopedia,-356737.1627,1647050.203
226,1865/06/11,1865/06/11,9,Cow Creek,Kansas,Kiowa,x,,27,1,,Michno: Encyclopedia,-211222.913,1697980.191
227,1865/06/12,1865/06/12,18,Fort Dodge,Kansas,Kiowa,x,x,,2,,Michno: Forgotten Fights,-338913.6674,1642707.815
228,1866/05/18,1866/05/18,19,Little Cheyenne Creek,Kansas,Cheyenne,,x,,,6,Michno: Forgotten Fights,-151599.8728,1835053.921
229,1867/04/15,1867/04/15,10,Lookout Station,Kansas,"Lakota, Cheyenne",x,x,,,2,Michno: Encyclopedia,-292295.1378,1759823.747
230,1867/04/19,1867/04/19,11,Cimarron Crossing,Kansas,Cheyenne,x,,2,,,Michno: Encyclopedia,-375965.8314,1653286.528
231,1867/06/12,1867/06/12,12,Fort Dodge,Kansas,Kiowa,x,,,1,,Michno: Encyclopedia,-345823.5939,1654325.916
232,1867/06/21,1867/06/22,13,Fort Wallace,Kansas,Cheyenne,x,,,5,,Michno: Encyclopedia,-500952.1779,1783989.506
233,1867/06/21,1867/06/27,20,Union Pacific Railroad,Kansas,"Cheyenne, Lakota",,x,,,17,Michno: Forgotten Fights,-253923.5277,1762364.985
234,1867/06/22,1867/06/22,14,Baca's Wagon Train,Kansas,Cheyenne,,x,,,10,Michno: Encyclopedia,-384280.9313,1640813.878
235,1867/06/26,1867/06/26,15,Pond Creek Station,Kansas,Cheyenne,x,,6,6,,Michno: Encyclopedia,-511346.0529,1791265.219
236,1867/06/26,1867/06/26,16,Black Butte Creek / Cooke's Fight,Kansas,"Cheyenne, Lakota",x,,5,,,Michno: Encyclopedia,-488999.2217,1814651.437
237,1867/07/02,1867/07/02,17,Kidder's Fight,Kansas,"Lakota, Cheyenne",x,,2,10,,Michno: Encyclopedia,-479384.8874,1850770.153
238,1867/08/01,1867/08/02,18,Saline River,Kansas,"Lakota, Cheyenne", ,x,6,1,7,Michno: Encyclopedia,-278263.4066,1791005.372
239,1867/08/21,1867/08/22,19,Prairie Dog Creek,Kansas,"Lakota, Cheyenne",x,,10,8,,Michno: Encyclopedia,-312043.5003,1864801.884
240,1867/09/15,1867/09/15,20,Davis's Fight,Kansas,Cheyenne,x,x,13,1,2,Michno: Encyclopedia,-344264.5127,1782690.272
241,1868/08/13,1868/08/13,21,Elkhorn Creek,Kansas,"Cheyenne, Arapaho, Lakota",,x,3,,,Michno: Encyclopedia,-173804.9631,1775934.253
242,1868/08/18,1868/08/21,22,Pawnee Fork,Kansas,n/o,x,x,5,,,Michno: Encyclopedia,-300610.2378,1674593.972
243,1868/09/02,1868/09/02,23,Little Coon Creek,Kansas,Kiowa,x,,3,,,Michno: Encyclopedia,-322957.069,1654845.61
244,1868/10/14,1868/10/14,24,Prairie Dog Creek,Kansas,Cheyenne,x,,,1,,Michno: Encyclopedia,-336988.8002,1878313.922
245,1868/10/18,1868/10/18,25,Beaver Creek,Kansas,"Cheyenne, Lakota",x,,10,,,Michno: Encyclopedia,-428974.5937,1878313.922
246,1868/10/25,1868/10/26,26,Beaver Creek,Kansas,"Cheyenne, Lakota",x,,10,,,Michno: Encyclopedia,-406627.7625,1887668.409
247,1868/11/19,1868/11/19,27,Wilson's Fight,Kansas,n/o,x,,2,,,Michno: Encyclopedia,-295932.9941,1712531.616
248,1869/01/29,1869/01/29,28,Mulberry Creek,Kansas,Pawnee,x,x,7,,,Michno: Encyclopedia,-329193.394,1625742.76
249,1869/05/13,1869/05/13,29,Elephant Rock,Kansas,Lakota,x,,25,4,,Michno: Encyclopedia,-393115.7251,1890786.572
250,1869/05/28,1869/05/28,30,Fossil Creek Station,Kansas,Cheyenne,,x,,,2,Michno: Encyclopedia,-246562.0879,1762422.216
251,1869/05/30,1869/05/30,21,Spillman Creek Raids,Kansas,Cheyenne,,x,,,11,Michno: Forgotten Fights,-182912.0295,1789203.977
252,1869/06/19,1869/06/19,31,Sheridan,Kansas,Cheyenne,x,,4,,,Michno: Encyclopedia,-483802.2842,1798540.931
253,1869/09/26,1869/09/26,32,Prairie Dog Creek,Kansas,Lakota,x,,1,,,Michno: Encyclopedia,-376485.5251,1865321.578
254,1870/05/31,1870/05/31,33,Bear Creek Station,Kansas,Kiowa,x,x,5,2,,Michno: Encyclopedia,-341146.3502,1580789.25
255,1870/06/01,1870/06/01,34,North Fork Solomon River,Kansas,Cheyenne,x,x,,,,Michno: Encyclopedia,-254877.1879,1849211.072
256,1872/05/22,1872/05/22,35,Cimarron Crossing,Kansas,Cheyenne,x,,,2,,Michno: Encyclopedia,-339327.4221,1564159.051
257,1874/06/24,1874/06/24,36,Bear Creek Redoubt,Kansas,Cheyenne,x,,4,,,Michno: Encyclopedia,-347382.6752,1597939.144
258,1874/08/25,1874/08/25,22,Lone Tree Massacre,Kansas,Cheyenne,,x,,,6,Michno: Forgotten Fights,-390914.2133,1578965.21
259,1875/04/23,1875/04/23,37,Sappa Creek,Kansas,Cheyenne,x,,27,2,,Michno: Encyclopedia,-419620.1062,1861164.028
260,1875/10/27,1875/10/27,38,Smoky Hill Station,Kansas,Arapaho,x,,2,,,Michno: Encyclopedia,-451581.2718,1775414.559
261,1878/09/27,1878/09/27,39,Punished Woman's Fork,Kansas,Cheyenne,x,,2,2,,Michno: Encyclopedia,-439888.1624,1749429.872
262,1862/08/18,1862/08/18,1,Redwood Agency,Minnesota,,,,,,,Michno: Encyclopedia,72987.14518,2386306.659
263,1862/08/18,1862/08/18,2,Lower Sioux Agency,Minnesota,,,,,,,Michno: Encyclopedia,84324.54525,2401224.291
264,1862/08/19,1862/08/23,3,New Ulm,Minnesota,,,,,,,Michno: Encyclopedia,114159.8086,2369598.912
265,1862/08/20,1862/08/22,,Fort Ridgely,Minnesota,,,,,,,Michno: Encyclopedia,101927.3506,2405401.228
266,1862/09/02,1862/09/03,5,Birch Coulee,Minnesota,,,,,,,Michno: Encyclopedia,71495.38201,2413158.396
267,1862/09/03,1862/09/03,6,Hutchinson,Minnesota,,,,,,,Michno: Encyclopedia,117441.6876,2436131.549
268,1862/09/23,1862/09/23,7,Wood Lake,Minnesota,,,,,,,Michno: Encyclopedia,37483.18177,2409876.517
269,1863/06/29,1863/06/29,8,Dustin Massacre,Minnesota,,,,,,,Michno: Encyclopedia,138923.0772,2451049.181
270,1865/09/01,1865/09/08,1,Powder River,Montana,,,,,,,Michno: Encyclopedia,-712904.1467,2560132.445
271,1867/08/01,1867/08/01,2,Hayfield Fight,Montana,,,,,,,Michno: Encyclopedia,-939257.1078,2526008.883
272,1868/04/16,1868/04/16,5,Fort C. F. Smith,Montana,,,,,,,Michno: Forgotten Fights,-938916.7424,2518863.064
273,1869/04/07,1869/04/07,3,Sixteenmile Creek,Montana,,,,,,,Michno: Encyclopedia,-1154235.548,2698901.597
274,1870/01/23,1870/01/23,4,Marias River,Montana,,,,,,,Michno: Encyclopedia,-1182671.85,2910467.681
275,1872/08/14,1872/08/14,7,Pryor's Fork,Montana,,,,,,,Michno: Encyclopedia,-963143.6011,2615867.596
276,1873/08/04,1873/08/04,6,Tongue River,Montana,,,,,,,Michno: Encyclopedia,-773189.1062,2640891.541
277,1873/08/11,1873/08/11,7,Bighorn,Montana,,,,,,,Michno: Encyclopedia,-897171.3813,2644303.897
278,1876/02/22,1876/03/17,6,Fort Pease,Montana,,,,,,6,Michno: Forgotten Fights / Peters: Indian Battles,-893304.6083,2649183.447
279,1876/03/17,1876/03/17,8,Powder River / Reynold's Fight,Montana,,,,,,,Michno: Encyclopedia,-768639.2979,2507809.65
280,1876/06/17,1876/06/17,9,Rosebud Creek,Montana,,,,,,,Michno: Encyclopedia,-873284.888,2535108.499
281,1876/06/25,1876/06/25,10,Little Bighorn,Montana,,,,,,,Michno: Encyclopedia,-907408.4499,2545345.568
282,1876/10/21,1876/10/21,11,Cedar Creek,Montana,,,,,,,Michno: Encyclopedia,-707216.8864,2714825.925
283,1876/12/18,1876/12/18,12,Ash Creek,Montana,,,,,,,Michno: Encyclopedia,-716316.5029,2736437.515
284,1877/01/08,1877/01/08,13,Wolf Mountain,Montana,,,,,,,Michno: Encyclopedia,-815274.8326,2538520.855
285,1877/05/07,1877/05/07,14,Little Muddy Creek / Lame Deer Fight,Montana,,,,,,,Michno: Encyclopedia,-833474.0657,2554445.184
286,1877/08/09,1877/08/10,15,Big Hole,Montana,,,,,,,Michno: Encyclopedia,-1364664.18,2629517.021
287,1877/08/12,1877/08/12,16,Horse Prairie,Montana,,,,,,,Michno: Encyclopedia,-1345327.495,2584018.938
288,1877/09/13,1877/09/13,17,Canyon Creek,Montana,,,,,,,Michno: Encyclopedia,-979067.9301,2611317.787
289,1877/09/25,1877/09/25,18,Cow Island,Montana,,,,,,,Michno: Encyclopedia,-967693.4094,2802409.734
290,1877/09/25,1877/09/25,19,Cow Creek,Montana,,,,,,,Michno: Encyclopedia,-959731.2449,2825158.776
291,1877/09/30,1877/10/05,20,Bear's Paw / Snake Creek,Montana,,,,,,,Michno: Encyclopedia,-980205.3821,2877481.571
292,1878/09/04,1878/09/04,21,Clark's Fork,Montana,,,,,,,Michno: Encyclopedia,-1029115.821,2539658.307
293,1879/04/05,1879/04/05,7,Mizpah Creek,Montana,,,,,,,Michno: Forgotten Fights,-722584.9065,2586629.663
294,1879/04/17,1879/04/17,22,Careless Creek,Montana,,,,,,,Michno: Encyclopedia,-1026840.917,2686389.624
295,1879/07/17,1879/07/17,23,Milk River,Montana,,,,,,,Michno: Encyclopedia,-873284.888,2882031.379
296,1880/02/12,1880/02/12,24,Pumpkin Creek,Montana,,,,,,,Michno: Encyclopedia,-756127.3252,2576056.773
297,1880/03/08,1880/03/08,8,Rosebud Creek,Montana,,,,,,,Michno: Forgotten Fights,-859421.3087,2630938.593
298,1880/08/17,1880/08/17,9,Little Missouri River,Montana,,,,,,,Michno: Forgotten Fights,-637876.6575,2539714.325
299,1881/01/02,1881/01/02,25,Poplar River,Montana,,,,,,,Michno: Encyclopedia,-692430.0095,2833120.94
300,1883/04/19,1883/04/19,10,Wilde Horse Lake,Montana,,,,,,,Michno: Forgotten Fights,-1032747.418,2951526.736
301,1887/11/05,1887/11/05,26,Crow Agency,Montana,,,,,,,Michno: Encyclopedia,-905133.5458,2566957.157
302,1849/10/29,1849/10/29,1,Fort Kearny,Nebraska,,,,,,,Michno: Forgotten Fights,-234073.857,1984345.811
303,1855/09/03,1855/09/03,1,Bluewater Creek,Nebraska,Brule,x,,86,7,,Michno: Encyclopedia,-504745.7018,2057686.916
304,1856/08/26,1856/08/26,2,Grand Island,Nebraska,Cheyenne,x,,6,,,Michno: Encyclopedia,-220377.2946,1978663.647
305,1856/08/26,1856/09/05,2,Babbitt's Wagon Train,Nebraska,,,,,,,Michno: Forgotten Fights,-201643.4089,2000001.889
306,1857/08/02,1857/08/03,3,Plum Creek,Nebraska,Cheyenne,,x,6,,1,Michno: Encyclopedia,-318435.3661,1960205.657
307,1857/09/10,1857/09/10,4,Ash Hollow,Nebraska,Cheyenne,,x,,,3,Michno: Encyclopedia,-502438.4531,2040382.551
308,1860/08/03,1860/08/06,5,Republican Fork,Nebraska,"Kiowa, Comanche",x,,29,4,,Michno: Encyclopedia,-347852.7875,1924443.301
309,1863/06/23,1863/06/23,6,Pawnee Agency,Nebraska,Brule,x,,,2,,Michno: Encyclopedia,-184038.127,2038940.52
310,1863/12/04,1863/12/04,7,Niobrara,Nebraska,Ponca,x,x,7,,,Michno: Encyclopedia,-156399.659,2194135.342
311,1864/06/24,1864/06/24,8,Looking Glass Creek,Nebraska,Lakota,,x,,,3,Michno: Encyclopedia,-139046.7766,2053937.637
312,1864/08/07,1864/08/07,10,Plum Creek Massacre,Nebraska,Cheyenne,,x,2,,13,Michno: Encyclopedia,-287287.5081,1969434.652
313,1864/08/07,1864/08/09,9,Little Blue River Raid,Nebraska,"Cheyenne, Lakota",,x,,,38,Michno: Encyclopedia,-129817.7816,1918675.18
314,1864/08/16,1864/08/16,11,Elk Creek,Nebraska,Cheyenne,x,x,10,1,1,Michno: Encyclopedia,-165868.5432,1897044.723
315,1864/09/20,1864/09/20,12,Cottonwood Canyon,Nebraska,Cheyenne,x,,9,4,,Michno: Encyclopedia,-373232.5236,2000005.698
316,1864/10/12,1864/10/12,13,Mullahla's Station,Nebraska,n/o,x,x,3,2,,Michno: Encyclopedia,-329971.6098,1979817.271
317,1864/11/26,1864/11/26,14,Plum Creek,Nebraska,Cheyenne,x,x,3,1,2,Michno: Encyclopedia,-301131.0005,1955014.347
318,1865/02/04,1865/02/06,15,Mud Springs,Nebraska,"Cheyenne, Lakota",x,,,3,,Michno: Encyclopedia,-580884.9102,2068069.535
319,1865/02/08,1865/02/09,16,Rush Creek,Nebraska,"Cheyenne, Lakota",x,,3,2,,Michno: Encyclopedia,-563580.5447,2081913.028
320,1865/05/12,1865/05/12,17,Smith's Ranch,Nebraska,Lakota,x,x,,1,,Michno: Encyclopedia,-349583.2241,1991930.327
321,1865/05/18,1865/05/18,18,Elm Creek Station,Nebraska,Pawnee,x,,,2,,Michno: Encyclopedia,-197304.8072,1950399.85
322,1865/06/14,1865/06/14,19,Horse Creek / Fouts's Fight,Nebraska,Lakota,x,,4,1,,Michno: Encyclopedia,-652409.6211,2126904.378
323,1865/06/17,1865/06/17,20,Dead Man's Fork,Nebraska,Lakota,x,,4,,,Michno: Encyclopedia,-622415.3875,2204197.211
324,1866/10/23,1866/10/23,21,North Platte River,Nebraska,Lakota,x,x,4,,,Michno: Encyclopedia,-403226.7572,2032307.18
325,1867/06/24,1867/06/24,22,North Fork Republican River,Nebraska,Lakota,x,,2,,,Michno: Encyclopedia,-474463.0621,1905120.093
326,1867/08/06,1867/08/06,23,Turkey Leg's Raid,Nebraska,Cheyenne,,x,,,7,Michno: Encyclopedia,-309206.3711,1980970.895
327,1867/08/17,1867/08/17,24,Plum Creek,Nebraska,Cheyenne,,,15,,,Michno: Encyclopedia,-301131.0005,1965973.779
328,1868/04/29,1868/04/29,25,Tobin Massacre,Nebraska,Lakota,,x,,,4,Michno: Encyclopedia,-279788.9497,1981547.708
329,1869/05/16,1869/05/16,26,Spring Creek,Nebraska,Lakota,x,,,3,,Michno: Encyclopedia,-310936.8077,1938286.794
330,1869/07/06,1869/07/06,27,Frenchman's Fork,Nebraska,Cheyenne,x,,3,,,Michno: Encyclopedia,-468694.9402,1943189.697
331,1869/08/24,1869/08/24,3,Nelson Buck Massacre,Nebraska,Lakota,x,x,3,,11,Michno: Forgotten Fights,-338074.9489,1908302.002
332,1870/05/17,1870/05/17,28,Spring Creek,Nebraska,Lakota,x,,1,,,Michno: Encyclopedia,-151448.2385,1905120.093
333,1870/06/08,1870/06/08,29,Red Willow Creek,Nebraska,n/o,x,,2,,,Michno: Encyclopedia,-383326.7369,1936267.951
334,1872/04/26,1872/04/26,30,South Fork Loup River,Nebraska,Lakota,x,,3,,,Michno: Encyclopedia,-379000.6455,2061147.789
335,1876/04/28,1876/04/28,31,Gracie Creek,Nebraska,Lakota,x,x,1,1,,Michno: Encyclopedia,-275174.4522,2118829.008
336,1876/07/17,1876/07/17,32,Hat Creek / Warbonnet Creek,Nebraska,Cheyenne,x,,1,,,Michno: Encyclopedia,-628183.5094,2238805.942
337,1879/01/09,1879/01/22,33,Fort Robinson,Nebraska,Cheyenne,x,,64,7,,Michno: Encyclopedia,-606264.6463,2216887.079
338,1862/09/01,1862/09/01,2,Gravelly Ford Massacre,Nevada,,,,,,,Michno: Forgotten Fights,-1671156.569,2140551.068
339,1863/03/22,1863/03/22,3,Eight Mile Station,Nevada,,,,,,,Michno: Forgotten Fights,-1526585.096,2061406.101
340,1863/05/04,1863/05/04,4,Duck Creek,Nevada,,,,,,,Michno: Forgotten Fights,-1593066.869,1955879.479
341,1863/05/06,1863/05/06,5,Cedar Swamp,Nevada,,,,,,,Michno: Forgotten Fights,-1583569.473,1940050.486
342,1863/06/20,1863/06/20,8,Government Springs,Nevada,,,,,,,Michno: Encyclopedia,-1585645.844,2060502.634
343,1863/06/23,1863/06/23,9,Egan Canyon Station,Nevada,,,,,,,Michno: Encyclopedia,-1590922.175,2014070.92
344,1863/07/06,1863/07/06,6,Egan Canyon Station,Nevada,,,,,,,Michno: Forgotten Fights,-1586735.271,2050853.439
345,1863/08/15,1863/08/15,7,Steptoe Valley,Nevada,,,,,,,Michno: Forgotten Fights,-1573016.81,2100450.952
346,1865/03/15,1865/03/15,8,Granite Creek Station,Nevada,,,,,,,Michno: Forgotten Fights,-1948691.586,2205977.574
347,1865/04/06,1865/04/06,9,Cottonwood Creek,Nevada,,,,,,,Michno: Forgotten Fights,-1720754.081,2258740.885
348,1865/04/14,1865/04/14,10,Mud Lake,Nevada,,,,,,,Michno: Encyclopedia,-1976094.346,2153366.062
349,1865/05/20,1865/05/20,11,Tuscarora,Nevada,,,,,,,Michno: Encyclopedia,-1682730.337,2209295.171
350,1865/07/26,1865/07/26,10,Willow Point,Nevada,,,,,,,Michno: Forgotten Fights,-1734472.542,2235525.028
351,1865/07/31,1865/07/31,11,Cottonwood Canyon,Nevada,,,,,,,Michno: Forgotten Fights,-1648995.978,2152158.997
352,1865/09/03,1865/09/03,12,Table Mountain,Nevada,,,,,,,Michno: Forgotten Fights,-1844220.23,2129998.406
353,1865/09/13,1865/09/13,13,Willow Creek,Nevada,,,,,,,Michno: Forgotten Fights,-1756633.133,2268238.281
354,1865/11/17,1865/11/17,14,Leonard Creek,Nevada,,,,,,,Michno: Forgotten Fights,-1850551.827,2290398.872
355,1866/01/12,1866/01/12,15,Battle Creek,Nevada,,,,,,,Michno: Forgotten Fights,-1865325.554,2273514.612
356,1866/02/15,1866/02/15,16,Guano Valley,Nevada,,,,,,,Michno: Forgotten Fights,-1906480.937,2339996.384
357,1867/01/18,1867/01/18,17,Eden Valley,Nevada,,,,,,,Michno: Forgotten Fights,-1701759.289,2241856.625
358,1867/02/15,1867/02/15,18,Black Slate Mountain,Nevada,,,,,,,Michno: Forgotten Fights,-1739748.873,2208088.106
359,1867/03/22,1867/03/22,19,South Form Owyhee,Nevada,,,,,,,Michno: Forgotten Fights,-1654272.309,2265072.482
360,1868/04/22,1868/04/22,20,Deep Canyon,Nevada,,,,,,,Michno: Forgotten Fights,-1735527.809,2273514.612
361,1862/10/25,1862/10/25,27,Graydon Affair,New Mexico,,,,,,,Michno: Encyclopedia,-901339.8595,1216929.307
362,1863/01/18,1863/01/18,28,Mangas Coloradas Affair,New Mexico,,,,,,,Michno: Encyclopedia,-1122945.766,1122482.98
363,1863/01/19,1863/01/19,29,Pinos Altos Mines,New Mexico,,,,,,,Michno: Encyclopedia,-1143523.458,1155723.866
364,1863/01/29,1863/01/29,30,Pinos Altos Mines,New Mexico,,,,,,,Michno: Encyclopedia,-1132970.795,1142005.405
365,1863/06/16,1863/06/16,31,Jornada de Muerto,New Mexico,,,,,,,Michno: Encyclopedia,-1017946.777,1128286.944
366,1863/06/20,1863/06/20,32,Warm Springs,New Mexico,,,,,,,Michno: Encyclopedia,-1031137.605,1176301.557
367,1863/07/04,1863/07/04,33,Fort Craig,New Mexico,,,,,,,Michno: Encyclopedia,-1023223.108,1238034.631
368,1863/07/10,1863/07/10,34,Cooke's Canyon,New Mexico,,,,,,,Michno: Encyclopedia,-1089177.247,1112457.951
369,1863/07/12,1863/07/12,35,Fort Thorn,New Mexico,,,,,,,Michno: Encyclopedia,-1048549.498,1116151.382
370,1863/07/18,1863/07/18,36,Rio Hondo,New Mexico,,,,,,,Michno: Encyclopedia,-805838.2664,1178939.723
371,1863/07/19,1863/07/19,37,Paraje,New Mexico,,,,,,,Michno: Encyclopedia,-1006866.482,1214818.774
372,1863/07/22,1863/07/22,38,Conchas Springs,New Mexico,,,,,,,Michno: Encyclopedia,-762572.3513,1405821.961
373,1863/07/24,1863/07/24,39,Cooke's Canyon,New Mexico,,,,,,,Michno: Encyclopedia,-1083373.283,1098739.49
374,1863/08/27,1863/08/27,40,Las Animas Creek,New Mexico,,,,,,,Michno: Encyclopedia,-1045911.332,1171552.859
375,1863/08/27,1863/08/28,41,Salt Lakes,New Mexico,,,,,,,Michno: Encyclopedia,-1150382.688,1407404.86
376,1863/09/08,1863/09/08,12,Mimbres River,New Mexico,,,,,,,Michno: Forgotten Fights,-1093058.965,1122144.318
377,1863/09/27,1863/09/27,42,Jemez,New Mexico,,,,,,,Michno: Encyclopedia,-959907.1349,1454364.207
378,1863/12/16,1863/12/16,43,Fort Sumner,New Mexico,,,,,,,Michno: Encyclopedia,-775235.5459,1333536.224
379,1864/01/04,1864/01/04,44,Bosque Redondo,New Mexico,,,,,,,Michno: Encyclopedia,-771014.481,1281300.546
380,1864/01/12,1864/01/12,45,Datil Mountains,New Mexico,,,,,,,Michno: Encyclopedia,-1079679.851,1317179.598
381,1864/01/29,1864/01/29,46,San Andres Mountains,New Mexico,,,,,,,Michno: Encyclopedia,-974153.2289,1203210.846
382,1864/02/25,1864/02/25,47,Pinos Altos Mines,New Mexico,,,,,,,Michno: Encyclopedia,-1148272.156,1138311.973
383,1864/08/25,1864/08/25,48,Sacramento Mountains,New Mexico,,,,,,,Michno: Encyclopedia,-899229.3271,1115623.749
384,1864/12/01,1864/12/01,49,Red River,New Mexico,,,,,,,Michno: Encyclopedia,-1121362.867,1296601.906
385,1865/07/01,1865/07/01,13,San Andreas Pass,New Mexico,,,,,,,Michno: Forgotten Fights,-964367.6665,1102440.387
386,1865/09/17,1865/09/17,14,Mimbres Mountains,New Mexico,,,,,,,Michno: Forgotten Fights,-1066581.808,1160320.684
387,1866/01/17,1866/01/17,15,Oak Grove,New Mexico,,,,,,,Michno: Forgotten Fights,-1055498.347,1072884.491
388,1867/07/09,1867/07/09,50,Fort Sumner,New Mexico,,,,,,,Michno: Encyclopedia,-766793.4161,1291325.575
389,1867/08/01,1867/08/01,16,Loving's Fight,New Mexico,,,,,,,Michno: Forgotten Fights,-778411.8185,1031321.511
390,1867/11/20,1867/11/20,51,Dona Ana Mountains,New Mexico,,,,,,,Michno: Encyclopedia,-993148.0209,1086076.295
391,1868/03/11,1868/03/11,52,Tularosa,New Mexico,,,,,,,Michno: Encyclopedia,-914530.6873,1142005.405
392,1868/04/17,1868/04/17,53,Nesmith's Mills,New Mexico,,,,,,,Michno: Encyclopedia,-893425.3629,1145171.204
393,1868/06/13,1868/06/13,54,Apache Springs,New Mexico,,,,,,,Michno: Encyclopedia,-837496.2531,1417957.522
394,1868/08/27,1868/08/27,55,Hatchet Mountains,New Mexico,,,,,,,Michno: Encyclopedia,-1159352.451,1019066.89
395,1869/04/22,1869/04/22,56,Sangre Cayon,New Mexico,,,,,,,Michno: Encyclopedia,-861767.3762,1057056.474
396,1869/05/02,1869/05/02,57,San Augustin Pass,New Mexico,,,,,,,Michno: Encyclopedia,-966766.3653,1077106.532
397,1869/05/07,1869/05/07,58,San Augustin Pass,New Mexico,,,,,,,Michno: Encyclopedia,-952520.2713,1070247.302
398,1869/11/18,1869/11/18,59,Guadalupe Mountains,New Mexico,,,,,,,Michno: Encyclopedia,-842772.5842,1046503.812
399,1869/12/26,1869/12/30,60,Sanguinara Canyon,New Mexico,,,,,,,Michno: Encyclopedia,-853325.2464,1042810.38
400,1873/02/26,1873/02/26,61,Fort Bascom,New Mexico,,,,,,,Michno: Encyclopedia,-680261.5859,1407668.676
401,1873/07/13,1873/07/13,62,Canada Alamosa,New Mexico,,,,,,,Michno: Encyclopedia,-1057783.077,1202947.029
402,1876/09/15,1876/09/15,63,Florida Mountains,New Mexico,,,,,,,Michno: Encyclopedia,-1075986.419,1062332.805
403,1877/01/09,1877/01/09,64,Animas Mountains,New Mexico,,,,,,,Michno: Encyclopedia,-1180985.409,1031466.268
404,1877/01/24,1877/01/24,65,Florida Mountains,New Mexico,,,,,,,Michno: Encyclopedia,-1077833.135,1052043.959
405,1877/09/08,1877/09/09,17,San Francisco River,New Mexico,,,,,,,Michno: Forgotten Fights,-1172490.437,1224666.334
406,1877/12/18,1877/12/18,66,Animas Mountains,New Mexico,,,,,,,Michno: Encyclopedia,-1186525.556,1014582.008
407,1878/08/05,1878/08/05,67,Dog Canyon,New Mexico,,,,,,,Michno: Encyclopedia,-910837.2555,1119580.998
408,1878/09/17,1878/09/17,18,Bear Creek,New Mexico,,,,,,,Michno: Forgotten Fights,-1128156.592,1181563.985
409,1879/05/29,1879/05/29,68,Black Range,New Mexico,,,,,,,Michno: Encyclopedia,-1091287.78,1191075.284
410,1879/09/04,1879/09/04,69,Ojo Calente,New Mexico,,,,,,,Michno: Encyclopedia,-1071237.721,1231966.85
411,1879/09/10,1879/09/10,19,McEnver's Farm,New Mexico,,,,,,,Michno: Forgotten Fights,-1058577.086,1113831.722
412,1879/09/18,1879/09/18,70,Las Animas Creek,New Mexico,,,,,,,Michno: Encyclopedia,-1069654.822,1164165.996
413,1879/09/29,1879/09/30,71,Cuchillo Negro Creek,New Mexico,,,,,,,Michno: Encyclopedia,-1070710.088,1188700.935
414,1879/10/13,1879/10/13,72,Lloyd's and Slocum's Ranches,New Mexico,,,,,,,Michno: Encyclopedia,-1068071.923,1129078.394
415,1880/01/12,1880/01/12,73,Percha Creek,New Mexico,,,,,,,Michno: Encyclopedia,-1079679.851,1152821.884
416,1880/01/17,1880/01/17,74,San Mateo Mountains,New Mexico,,,,,,,Michno: Encyclopedia,-1050923.847,1256765.607
417,1880/01/30,1880/01/30,75,Caballo Mountains,New Mexico,,,,,,,Michno: Encyclopedia,-1034039.587,1162319.28
418,1880/02/03,1880/02/03,76,San Andres Mountains,New Mexico,,,,,,,Michno: Encyclopedia,-983650.6249,1176829.19
419,1880/02/09,1880/02/09,77,San Andres Mountains,New Mexico,,,,,,,Michno: Encyclopedia,-977846.6607,1185535.137
420,1880/03/05,1880/03/05,20,Palomas,New Mexico,,,,,,,Michno: Forgotten Fights,-1026558.198,1154471.08
421,1880/04/07,1880/04/08,78,Hembrillo Canyon / San Andres Springs,New Mexico,,,,,,,Michno: Encyclopedia,-992620.3878,1151766.617
422,1880/04/09,1880/04/09,79,Shakehand Springs,New Mexico,,,,,,,Michno: Encyclopedia,-846466.016,1043074.196
423,1880/04/16,1880/04/16,80,Mescalero Agency,New Mexico,,,,,,,Michno: Encyclopedia,-903978.0251,1149656.085
424,1880/04/17,1880/04/17,81,Dog Canyon,New Mexico,,,,,,,Michno: Encyclopedia,-920334.6515,1107445.436
425,1880/05/14,1880/05/14,21,Old Fort Tularosa,New Mexico,,,,,,,Michno: Forgotten Fights,-1150939.262,1258532.465
426,1880/05/24,1880/05/24,82,Palomas River,New Mexico,,,,,,,Michno: Encyclopedia,-1085219.999,1177093.007
427,1880/06/05,1880/06/05,83,Cooke's Canyon,New Mexico,,,,,,,Michno: Encyclopedia,-1093134.496,1110347.418
428,1880/09/01,1880/09/01,84,Agua Chiquita Canyon,New Mexico,,,,,,,Michno: Encyclopedia,-890011.4979,1117032.608
429,1880/09/07,1880/09/07,85,Fort Cummings,New Mexico,,,,,,,Michno: Encyclopedia,-1097883.194,1100586.206
430,1881/01/24,1881/01/24,22,Canada Alamosa,New Mexico,,,,,,,Michno: Forgotten Fights,-1050572.364,1248064.751
431,1881/07/25,1881/07/25,86,San Andres Mountains,New Mexico,,,,,,,Michno: Encyclopedia,-982595.3587,1137784.34
432,1881/08/01,1881/08/01,87,Red Canyon,New Mexico,,,,,,,Michno: Encyclopedia,-1043536.983,1228537.235
