Office,id_10,id_11,id_12,id_13,id_14,id_15,id_16,id_17,id_18,id_19,id_20,id_21,id_22,id_23,id_24,id_25,id_26,id_27,year,,,,
"Humboldt, KS",149,22579.44,,,,,,,,,,,,,,,,,1864,,,,
"Junction City, KS",268,36795.76,,,,,,,,,,,,,,,,,1864,,,,
"Omaha, NE",273,40774.15,,,,,,,,,,,,,,,,,1864,,,,
"Brownville, NE",264,39264.62,,,,,,,,,,,,,,,,,1864,,,,
"Nebraska City, NE",194,30538.3,,,,,,,,,,,,,,,,,1864,,,,
"Dakota City, NE",28,4220.54,,,,,,,,,,,,,,,,,1864,,,,
"Golden, CO",304,45224.8,,,,,,,,,,,,,,,,,1864,,,,
"Vermillion, SD",111,17669.57,,,,,,,,,,,,,,,,,1864,,,,
"Carson City, NV",43,6452.13,,,,,,,,,,,,,,,,,1864,,,,
"Chillicothe, OH",2,118.91,,,,,,,,,,,,,,,,,1865,,,,
"Springfield, IL",2,74.25,,,,,,,,,,,,,,,,,1865,,,,
"Boonville, MO",709,59645.22,,,,,,,,,,,,,,,,,1865,,,,
"Ironton, MO",81,7296.2,,,,,,,,,,,,,,,,,1865,,,,
"Detroit, MI",54,6263.46,,,,,,,,,,,,,,,,,1865,,,,
"East Saginaw, MI",108,12864.15,,,,,,,,,,,,,,,,,1865,,,,
"Ionia, MI",279,32256.05,,,,,,,,,,,,,,,,,1865,,,,
"Marquette, MI",25,3210.8,,,,,,,,,,,,,,,,,1865,,,,
"Traverse City, MI",275,40361.91,,,,,,,,,,,,,,,,,1865,,,,
"Des Moines, IA",87,6559.74,,,,,,,,,,,,,,,,,1865,,,,
"Council Bluffs, IA",155,12192.34,,,,,,,,,,,,,,,,,1865,,,,
"Fort Dodge, IA",296,40017.71,,,,,,,,,,,,,,,,,1865,,,,
"Sioux City, IA",44,5873.21,,,,,,,,,,,,,,,,,1865,,,,
"Menasha, WI",47,3600.95,,,,,,,,,,,,,,,,,1865,,,,
"St. Croix Falls, WI",177,20180.22,,,,,,,,,,,,,,,,,1865,,,,
"Stevens Point, WI",36,3090.05,,,,,,,,,,,,,,,,,1865,,,,
"La Crosse, WI",358,36881.87,,,,,,,,,,,,,,,,,1865,,,,
"Bayfield, WI",11,1598.29,,,,,,,,,,,,,,,,,1865,,,,
"Eau Claire, WI",102,12597.23,,,,,,,,,,,,,,,,,1865,,,,
"Taylors Falls, MN",31,4514.24,,,,,,,,,,,,,,,,,1865,,,,
"St. Cloud, MN",925,143361.22,,,,,,,,,,,,,,,,,1865,,,,
"Winnebago, MN",1158,171254.87,,,,,,,,,,,,,,,,,1865,,,,
"Minneapolis, MN",1167,128588.99,,,,,,,,,,,,,,,,,1865,,,,
"St. Peter, MN",687,83346.71,,,,,,,,,,,,,,,,,1865,,,,
"Henderson, MN",,,,,,,,,,,,,,,,,,,1865,,,,
"Duluth, MN",1,159.8,,,,,,,,,,,,,,,,,1865,,,,
"San Francisco, CA",50,7778.72,,,,,,,,,,,,,,,,,1865,,,,
"Marysville, CA",85,13050.05,,,,,,,,,,,,,,,,,1865,,,,
"Humboldt, CA",16,2432.4,,,,,,,,,,,,,,,,,1865,,,,
"Stockton, CA",62,9408.19,,,,,,,,,,,,,,,,,1865,,,,
"Visalia, CA",52,7902.32,,,,,,,,,,,,,,,,,1865,,,,
"Oregon City, OR",112,25948.8,,,,,,,,,,,,,,,,,1865,,,,
"Roseburg, OR",89,13478.38,,,,,,,,,,,,,,,,,1865,,,,
"Olympia, WA",99,16977.01,,,,,,,,,,,,,,,,,1865,,,,
"Vancouver, WA",112,17599.98,,,,,,,,,,,,,,,,,1865,,,,
