id,date_begin,date_end,source_no,name_michno,name_friedman,state,ident_friedman,natives dead,natives dead (amended),natives wounded,natives wounded (amended),natives captured,natives captured (amended),us combatants dead,us combatants wounded,us combatants wounded (amended),us civilians dead,us civilians dead (amended),us civilians wounded,us civilians captured,source,nation 1,nation 2,nation 3,nation 4,pop_group,native casualties,us combatant casualties,us civilian casualties,total casualties,type engagement,x,y
267,1862/09/03,1862/09/03,6,Hutchinson,Sioux Rebellion- Hutchinson,Minnesota,MN-1862/09/03,,,,,,,6,23,23,,,,,Michno: Encyclopedia,Santee Sioux,,,,4,0,29,0,29,0,-94.5105785,44.905567
445,1862/09/03,1862/09/06,1,Fort Abercrombie,Sioux Rebellion- Ft. Abercrombie,North Dakota,DK-1862/09/03,20,20,,,,,2,2,2,,,,,Michno: Encyclopedia,Lakota Sioux,,,,4,20,4,0,24,8,-96.80535041,46.19027766
139,1862/09/08,1862/09/08,37,Reedwood Creek,Redwood Creek,California,CA-1862/09/08,,,1,1,,,,1,1,,,,,Michno: Encyclopedia,Unidentified,,,,3,1,1,0,2,5,-123.8414387,40.54442099
193,1862/09/12,1862/09/12,10,City of Rocks,City of Rocks,Idaho,ID-1862/09/12,,,,,,,,,,6,6,2,,Michno: Encyclopedia,Shoshone,Bannock,,,3,0,0,8,8,0,-113.5323144,42.18141371
268,1862/09/23,1862/09/23,7,Wood Lake,Sioux Rebellion- Battle of Wood Lake,Minnesota,MN-1862/09/23,25,25,40,40,269,269,7,34,34,,,,,Michno: Encyclopedia,Santee Sioux,,,,4,65,41,0,106,6,-95.52625501,44.67716683
464,1862/10/23,1862/10/24,6,Fort Cobb,,Oklahoma,OK-1862/10/23,,,,,,,,,,10,10,,,Michno: Encyclopedia,Indian Territory Nations,,,,,0,0,10,10,0,-98.42469801,35.05022112
361,1862/10/25,1862/10/25,27,Graydon Affair,Graydon Affair,New Mexico,NM-1862/10/26,12,12,20,20,,,,,,,,,,Michno: Encyclopedia,Mescalero Apache,,,,3,32,0,0,32,10,-105.7972294,33.60127557
516,1862/11/23,1862/11/23,6,Cache Valley,Cache Valley,Utah,UT-1862/11/23,3,3,1,1,,,,,,,,,,Michno: Encyclopedia,Shoshone,,,,3,4,0,0,4,10,-111.9873783,41.89915495
517,1862/12/06,1862/12/06,7,Empey's Ferry,Empey's Ferry,Utah,UT-1862/12/06,4,4,,,,,,,,,,,,Michno: Encyclopedia,Shoshone,,,,3,4,0,0,4,10,-112.2432065,41.6757621
362,1863/01/18,1863/01/18,28,Mangas Coloradas Affair,Mangas Coloradas Affair,New Mexico,NM-1863/01/18,1,1,,,,,,,,,,,,Michno: Encyclopedia,Mimbres Apache,,,,3,1,0,0,1,10,-108.0530133,32.53283142
363,1863/01/19,1863/01/19,29,Pinos Altos Mines,Pinos Altos mines,New Mexico,NM-1863/01/19,11,11,1,1,,,,,,,,,,Michno: Encyclopedia,Mimbres Apache,,,,3,12,0,0,12,10,-108.3174337,32.80480255
194,1863/01/29,1863/01/29,11,Bear River,Battle of Bear River,Idaho,ID-1863/01/29,224,224,,,160,160,21,46,46,,,,,Michno: Encyclopedia,Shoshone,Paiute,,,3,224,67,0,291,8,-111.8913787,42.23460659
364,1863/01/29,1863/01/29,30,Pinos Altos Mines,Pinos Altos mines,New Mexico,NM-1863/01/29,20,20,15,15,,,1,1,1,,,,,Michno: Encyclopedia,Mimbres Apache,,,,3,35,2,0,37,9,-108.1861709,32.69501347
520,1863/02/20,1863/02/20,4,Pass Creek,Pass Creek,Wyoming,WY-1863/02/20,few,5,,,,,,1,1,,,,,Michno: Encyclopedia,Ute,,,,3,5,1,0,6,8,-106.9712831,41.72460789
142,1863/03/21,1863/03/23,38,North Fork Eel River,Eel River,California,CA-1863/03/21,46,46,,,37,37,1,1,1,,,,,Michno: Encyclopedia,Eel River,,,,1,46,2,0,48,10,-123.3319418,40.03465942
339,1863/03/22,1863/03/22,3,Eight Mile Station,Tippett,Nevada,NV-1863/03/22,,,,,,,,,,1,1,,,Michno: Forgotten Fights,Goshute,,,,2,0,0,1,1,0,-114.2135432,40.24715054
6,1863/03/27,1863/03/27,13,Rio Bonito,Rio Bonito retaliation,Arizona,AZ-1863/03/27,28,28,,,,,1,1,1,,,,,Michno: Encyclopedia,Gila Apache,,,,3,28,2,0,30,9,-109.6474618,32.95311139
477,1863/04/01,1863/04/01,6,Standifer's Fight,Malheur River,Oregon,OR-1863/04/01,96,96,,,,,1,1,1,,,,,"Michno: Forgotten Fights, https://babel.hathitrust.org/cgi/pt?id=nyp.33433081784690&view=1up&seq=71&q1=Standifer",Shoshone,,,,3,96,2,0,98,10,-117.7572697,43.82318667
140,1863/04/09,1863/04/09,39,Williams Valley,Williams Valley,California,CA-1863/04/09,6,6,,,2,2,,,,1,1,,,Michno: Encyclopedia,Nome Cult,,,,4,6,0,1,7,9,-123.0505925,39.6948044
518,1863/04/12,1863/04/15,8,Spanish Fork Canyon,Spanish Fork Canyon,Utah,UT-1863/04/12,30,30,12,12,,,1,2,2,,,,,Michno: Encyclopedia,Ute,Goshute,,,3,42,3,0,45,9,-111.4547638,40.09300694
141,1863/04/19,1863/04/19,11,Kern River,Kernville,California,CA-1863/04/19,35,35,,,,,,,,,,,,Michno: Forgotten Fights,Paiute,Tehachapi,,,4,35,0,0,35,10,-118.1313601,35.88395213
5,1863/04/25,1863/04/25,14,Apache Pass,Apache War- Apache Pass,Arizona,AZ-1863/04/25,3,3,,,,,,1,1,,,,,Michno: Encyclopedia,Chiricahua Apache,,,,3,3,1,0,4,8,-109.715104,32.18958449
340,1863/05/04,1863/05/04,4,Duck Creek,Duck Creek,Nevada,NV-1863/05/04,36,36,,,,,,1,1,,,,,Michno: Forgotten Fights,Goshute,,,,2,36,1,0,37,10,-114.7414282,39.20855154
341,1863/05/06,1863/05/06,5,Cedar Swamp,Cedar Swamp,Nevada,NV-1863/05/06,23,23,,,,,,1,1,,,,,Michno: Forgotten Fights,Goshute,,,,2,23,1,0,24,10,-114.596565,39.08657727
7,1863/05/07,1863/05/07,15,Aravaipa Canyon,Apache War- Aravaipa Canyon,Arizona,AZ-1863/05/07,50,50,50,50,10,10,1,,,,,,,Michno: Encyclopedia,Arivaipa,,,,1,100,1,0,101,10,-110.4552281,32.88156003
